,precision,recall,f1-score,support
Low,0.5873715124816447,0.8614501076812635,0.6984866123399301,2786.0
Moderate,0.9335826210826211,0.6660315040650406,0.7774317912218268,7872.0
Severe,0.3522245762711864,0.7135193133047211,0.4716312056737589,932.0
accuracy,0.7168248490077653,0.7168248490077653,0.7168248490077653,0.7168248490077653
macro avg,0.6243929032784841,0.7470003083503417,0.6491832030785053,11590.0
weighted avg,0.803611107163158,0.7168248490077653,0.7338642835345306,11590.0
