group_key,n,q1,median,q3,iqr,eligible
Cold wave | °C,91,-30.0,-20.0,-3.1500000000000004,26.85,True
Drought | Km2,1,900.0,900.0,900.0,0.0,False
Earthquake | Moment Magnitude,326,5.8,6.4,7.1,1.2999999999999998,True
Flood | Km2,1067,5827.0,27751.0,89360.0,83533.0,True
Heat wave | °C,73,40.0,43.1,47.0,7.0,True
Severe winter conditions | °C,25,-30.0,-21.0,-15.0,15.0,True
Storm | Kph,475,120.0,150.0,205.0,85.0,True
Wildfire | Km2,29,245.0,1030.0,2500.0,2255.0,True
