field,value,n,accuracy,balanced_accuracy,macro_f1,weighted_f1
hdi_missing,0,938,0.6695095948827292,0.5393568239918503,0.5299768306170114,0.6748448678830787
hdi_missing,1,10,0.8,0.75,0.7619047619047619,0.7809523809523808
has_unknown_category,False,947,0.6715945089757128,0.5403990561343475,0.5312197475100235,0.6763270622698777
has_unknown_category,True,1,0.0,0.0,0.0,0.0
