split,model,accuracy,balanced_accuracy,macro_f1,weighted_f1,high_precision,high_recall,high_f1,extreme_precision,extreme_recall,extreme_f1,high_to_low_or_moderate,extreme_to_low_or_moderate,model_size_bytes,training_seconds,inference_seconds,deployment_complexity
validation,RandomForest,0.6853233830845771,0.5388904030333893,0.4824965881600082,0.6902667088697206,0.20238095238095238,0.40476190476190477,0.2698412698412698,0.16666666666666666,0.2857142857142857,0.21052631578947367,24,1,6891102,,,sklearn one-hot pipeline
validation,LightGBM,0.7164179104477612,0.5005707926307383,0.489816617574664,0.7156886156071469,0.1951219512195122,0.19047619047619047,0.1927710843373494,0.25,0.2857142857142857,0.26666666666666666,33,1,7640970,2.8968020000029355,,LightGBM native categorical runtime
test,RandomForest,0.6487341772151899,0.5890122369166749,0.5244274648290146,0.6605287588774821,0.23880597014925373,0.367816091954023,0.2895927601809955,0.29310344827586204,0.53125,0.37777777777777777,30,5,6891102,,,sklearn one-hot pipeline
test,LightGBM,0.6708860759493671,0.5396629689902577,0.5305671954280184,0.6759072189689956,0.29906542056074764,0.367816091954023,0.32989690721649484,0.47368421052631576,0.28125,0.35294117647058826,51,15,7640970,2.8968020000029355,0.039406900003086776,LightGBM native categorical runtime
