feature,split,split_normalized
historical_frequency,19174,0.2843541450393
hdi,14935,0.2214889515052647
year,10486,0.15550941717336497
event_month,10326,0.15313658608927777
country_code,5237,0.07766572742102922
disaster_subtype,4106,0.06089277769538781
disaster_type,1573,0.0233278955954323
region,950,0.01408868456176776
date_granularity,509,0.00754856888625241
date_imputed,115,0.0017054723416876762
hdi_missing,19,0.00028177369123535517
month_missing,0,0.0
