weight_strategy,best_macro_f1,mean_macro_f1,best_extreme_recall
balanced,0.4898166175746639,0.4717081894557898,0.2857142857142857
mild_sqrt,0.457125061194247,0.44362193829273533,0.2857142857142857
none,0.3789519332997594,0.3741912011861858,0.0
