split,class,precision,recall,f1,support
validation,Low,0.6790123456790124,0.8540372670807453,0.7565337001375516,322
validation,Moderate,0.8314285714285714,0.6720554272517321,0.7432950191570882,433
validation,High,0.1951219512195122,0.19047619047619047,0.1927710843373494,42
validation,Extreme,0.25,0.2857142857142857,0.26666666666666666,7
test,Low,0.5759493670886076,0.8950819672131147,0.7008985879332478,305
test,Moderate,0.9252873563218391,0.6145038167938931,0.7385321100917431,524
test,High,0.29906542056074764,0.367816091954023,0.32989690721649484,87
test,Extreme,0.47368421052631576,0.28125,0.35294117647058826,32
