group,n,median_max_probability,iqr_max_probability,high_confidence_errors_ge_0_70,mean_probability_Low,mean_probability_Moderate,mean_probability_Severe
all,948,0.7017752618035875,0.2100714891433082,101.0,,,
correct,678,0.7190663651908369,0.20751302339424527,0.0,,,
incorrect,270,0.6380420616554636,0.20354676672589478,101.0,,,
Severe_to_Low,31,0.533353625674177,0.1978362185495195,7.0,,,
Moderate_to_Low,147,0.6957800463585214,0.21631460140803682,73.0,,,
Low_to_Severe,14,0.5297200074778912,0.18649085784987213,3.0,,,
true_Low_mean_probability,305,,,,0.6928046359401566,0.1845920472551729,0.12260331680467056
true_Moderate_mean_probability,524,,,,0.24995316605025295,0.5381366756915461,0.21191015825820123
true_Severe_mean_probability,119,,,,0.2824231083680866,0.2192436825993438,0.4983332090325698
