transformed_feature,original_feature,class,mean_abs_shap
categorical__country_code_CHE,country_code,Severe,0.0
categorical__country_code_CHL,country_code,Low,2.838703061768727e-05
categorical__country_code_CHL,country_code,Moderate,4.088919551322157e-06
categorical__country_code_CHL,country_code,Severe,3.2153288169625195e-05
categorical__country_code_CHN,country_code,Low,0.005068469118067359
categorical__country_code_CHN,country_code,Moderate,0.004267047784718379
categorical__country_code_CHN,country_code,Severe,0.0021764974512564926
categorical__country_code_CIV,country_code,Low,9.845348755922531e-06
categorical__country_code_CIV,country_code,Moderate,2.7569342388568926e-05
categorical__country_code_CIV,country_code,Severe,2.7540900617471656e-05
categorical__country_code_CMR,country_code,Low,8.468938527066096e-06
categorical__country_code_CMR,country_code,Moderate,4.529302693863578e-06
categorical__country_code_CMR,country_code,Severe,9.676293389037217e-06
categorical__country_code_COD,country_code,Low,0.00011600051210435786
categorical__country_code_COD,country_code,Moderate,0.00025508112200735614
categorical__country_code_COD,country_code,Severe,0.0003495480159922104
categorical__country_code_COG,country_code,Low,5.361175889293444e-06
categorical__country_code_COG,country_code,Moderate,7.393405061034519e-07
categorical__country_code_COG,country_code,Severe,5.912113121592213e-06
categorical__country_code_COL,country_code,Low,0.0007686540064711571
categorical__country_code_COL,country_code,Moderate,0.0004745456196600326
categorical__country_code_COL,country_code,Severe,0.00029563511699802345
categorical__country_code_COM,country_code,Low,1.0455505352038892e-07
categorical__country_code_COM,country_code,Moderate,2.0339801492227474e-06
categorical__country_code_COM,country_code,Severe,2.1084675629203526e-06
categorical__country_code_CPV,country_code,Low,0.0
categorical__country_code_CPV,country_code,Moderate,0.0
categorical__country_code_CPV,country_code,Severe,0.0
categorical__country_code_CRI,country_code,Low,0.0
categorical__country_code_CRI,country_code,Moderate,0.0
categorical__country_code_CRI,country_code,Severe,0.0
categorical__country_code_CUB,country_code,Low,1.3702397212670684e-06
categorical__country_code_CUB,country_code,Moderate,2.3339067414117364e-06
categorical__country_code_CUB,country_code,Severe,3.2687215323535036e-06
categorical__country_code_CUW,country_code,Low,0.0
categorical__country_code_CUW,country_code,Moderate,0.0
categorical__country_code_CUW,country_code,Severe,0.0
categorical__country_code_CYM,country_code,Low,0.0
categorical__country_code_CYM,country_code,Moderate,0.0
categorical__country_code_CYM,country_code,Severe,0.0
categorical__country_code_CYP,country_code,Low,0.0
categorical__country_code_CYP,country_code,Moderate,0.0
categorical__country_code_CYP,country_code,Severe,0.0
categorical__country_code_CZE,country_code,Low,1.0053690804227573e-06
categorical__country_code_CZE,country_code,Moderate,1.0053690804227802e-06
categorical__country_code_CZE,country_code,Severe,0.0
categorical__country_code_DEU,country_code,Low,6.877035446262139e-05
categorical__country_code_DEU,country_code,Moderate,7.307820760707277e-06
categorical__country_code_DEU,country_code,Severe,6.713355329179538e-05
categorical__country_code_DJI,country_code,Low,3.000290378943305e-07
categorical__country_code_DJI,country_code,Moderate,9.196275096660326e-08
categorical__country_code_DJI,country_code,Severe,2.080662869277381e-07
categorical__country_code_DMA,country_code,Low,0.0
categorical__country_code_DMA,country_code,Moderate,0.0
categorical__country_code_DMA,country_code,Severe,0.0
categorical__country_code_DNK,country_code,Low,0.0
categorical__country_code_DNK,country_code,Moderate,0.0
categorical__country_code_DNK,country_code,Severe,0.0
categorical__country_code_DOM,country_code,Low,1.68763830179329e-05
