analysis_type,group,sample_count,error_count,error_rate,balanced_accuracy,macro_f1,details
region_summary,Northern Europe,23,14,0.6086956521739131,0.3611111111111111,0.34523809523809523,
region_summary,Polynesia,1,1,1.0,0.0,0.0,
region_summary,South-eastern Asia,106,28,0.2641509433962264,0.5731837606837608,0.4291866028708134,
region_summary,Southern Asia,120,51,0.425,0.5705492424242424,0.4958664021164021,
region_summary,Southern Europe,54,19,0.35185185185185186,0.6383928571428571,0.5563245173394662,
region_summary,Sub-Saharan Africa,199,100,0.5025125628140703,0.47866541353383457,0.38003733151145636,
region_summary,Western Asia,43,12,0.27906976744186046,0.44,0.40465949820788527,
region_summary,Western Europe,35,7,0.2,0.6743421052631579,0.6928046467520153,
hdi_missing_summary,missing,10,2,0.2,0.75,0.38095238095238093,
hdi_missing_summary,present,938,331,0.35287846481876334,0.5886252186406797,0.5238935929519579,
unknown_category_summary,known_categories,947,332,0.3505807814149947,0.5897537166405749,0.525001318316557,
unknown_category_summary,unknown_category,1,1,1.0,0.0,0.0,
critical_direction,High_to_Low_or_Moderate,,30,,,,
critical_direction,Extreme_to_Low,,5,,,,
critical_direction,Extreme_to_Moderate,,0,,,,
critical_direction,Extreme_to_High,,10,,,,
misclassified_sample,2022-0652-UGA,,1,,,,year=2022; true=Moderate; predicted=High; type=Epidemic; region=Sub-Saharan Africa; hdi=present; categories=known_categories
misclassified_sample,2022-0009-ZAF,,1,,,,year=2022; true=Moderate; predicted=Low; type=Flood; region=Sub-Saharan Africa; hdi=present; categories=known_categories
misclassified_sample,2022-0032-MDG,,1,,,,year=2022; true=Moderate; predicted=Low; type=Flood; region=Sub-Saharan Africa; hdi=present; categories=known_categories
misclassified_sample,2022-0049-CMR,,1,,,,year=2022; true=Moderate; predicted=High; type=Fire (Miscellaneous); region=Sub-Saharan Africa; hdi=present; categories=known_categories
misclassified_sample,2022-0239-MDG,,1,,,,year=2022; true=Moderate; predicted=Low; type=Storm; region=Sub-Saharan Africa; hdi=present; categories=known_categories
misclassified_sample,2022-0255-COD,,1,,,,year=2022; true=Low; predicted=Extreme; type=Epidemic; region=Sub-Saharan Africa; hdi=present; categories=known_categories
misclassified_sample,2022-0257-NGA,,1,,,,year=2022; true=Low; predicted=Moderate; type=Storm; region=Sub-Saharan Africa; hdi=present; categories=known_categories
misclassified_sample,2022-0282-LBR,,1,,,,year=2022; true=Moderate; predicted=Extreme; type=Epidemic; region=Sub-Saharan Africa; hdi=present; categories=known_categories
misclassified_sample,2022-0319-TZA,,1,,,,year=2022; true=Low; predicted=High; type=Epidemic; region=Sub-Saharan Africa; hdi=present; categories=known_categories
misclassified_sample,2022-0330-NPL,,1,,,,year=2022; true=Moderate; predicted=High; type=Air; region=Southern Asia; hdi=present; categories=known_categories
