time_split,total_records,magnitude_nonmissing,potentially_standardizable,standardizable_rate_all_records,standardizable_rate_among_nonmissing
maturity_holdout,1304,154,153,0.11733128834355828,0.9935064935064936
test,1206,175,174,0.14427860696517414,0.9942857142857143
train,13245,2907,2887,0.2179690449226123,0.9931200550395597
validation,1103,156,155,0.14052583862194015,0.9935897435897436
