grouping_strategy,group_key,disaster_type,disaster_subtype,magnitude_scale,total_records,magnitude_nonmissing,magnitude_missing,magnitude_nonmissing_rate,minimum,q1,median,q3,iqr,maximum,extreme_outlier_count,training_records,training_nonmissing,training_median_audit_only,training_iqr_audit_only,full_data_iqr_zero,training_iqr_zero,semantic_consistent,semantic_notes,statistically_supported_from_training,recommended_hybrid_group,unsupported_reasons
disaster_type+magnitude_scale,Miscellaneous accident (General) | <MISSING_SCALE>,Miscellaneous accident (General),<MULTIPLE_OR_NOT_APPLICABLE>,<MISSING_SCALE>,199,0,199,0.0,,,,,,,0,158,0,,,False,False,False,missing magnitude scale,False,False,missing magnitude scale; training non-missing sample count 0 < 20; training IQR unavailable
disaster_type+magnitude_scale,Rail | <MISSING_SCALE>,Rail,<MULTIPLE_OR_NOT_APPLICABLE>,<MISSING_SCALE>,255,0,255,0.0,,,,,,,0,231,0,,,False,False,False,missing magnitude scale,False,False,missing magnitude scale; training non-missing sample count 0 < 20; training IQR unavailable
disaster_type+magnitude_scale,Road | <MISSING_SCALE>,Road,<MULTIPLE_OR_NOT_APPLICABLE>,<MISSING_SCALE>,2254,0,2254,0.0,,,,,,,0,1934,0,,,False,False,False,missing magnitude scale,False,False,missing magnitude scale; training non-missing sample count 0 < 20; training IQR unavailable
disaster_type+magnitude_scale,Volcanic activity | <MISSING_SCALE>,Volcanic activity,<MULTIPLE_OR_NOT_APPLICABLE>,<MISSING_SCALE>,133,0,133,0.0,,,,,,,0,101,0,,,False,False,False,missing magnitude scale,False,False,missing magnitude scale; training non-missing sample count 0 < 20; training IQR unavailable
disaster_type+magnitude_scale,Water | <MISSING_SCALE>,Water,<MULTIPLE_OR_NOT_APPLICABLE>,<MISSING_SCALE>,1187,0,1187,0.0,,,,,,,0,952,0,,,False,False,False,missing magnitude scale,False,False,missing magnitude scale; training non-missing sample count 0 < 20; training IQR unavailable
disaster_type+magnitude_scale,Epidemic | Vaccinated,Epidemic,<MULTIPLE_OR_NOT_APPLICABLE>,Vaccinated,461,20,441,0.04338394793926247,2104.0,51034.5,193276.5,825000.0,773965.5,13025874.0,1,415,17,227270.0,1400000.0,False,False,False,response/intervention count; potentially available only after event onset,False,False,response/intervention count; potentially available only after event onset; training non-missing sample count 17 < 20
disaster_type+magnitude_scale,Chemical spill | m3,Chemical spill,<MULTIPLE_OR_NOT_APPLICABLE>,m3,23,2,21,0.08695652173913043,12000.0,34000.0,56000.0,78000.0,44000.0,100000.0,0,22,2,56000.0,44000.0,False,False,False,only three non-missing values and heterogeneous accident contexts,False,False,only three non-missing values and heterogeneous accident contexts; training non-missing sample count 2 < 20
disaster_type+magnitude_scale,Collapse (Industrial) | m3,Collapse (Industrial),<MULTIPLE_OR_NOT_APPLICABLE>,m3,163,1,162,0.006134969325153374,40000000.0,40000000.0,40000000.0,40000000.0,0.0,40000000.0,0,126,1,40000000.0,0.0,True,True,False,only three non-missing values and heterogeneous accident contexts,False,False,only three non-missing values and heterogeneous accident contexts; training non-missing sample count 1 < 20; training IQR = 0
disaster_type+magnitude_scale,Explosion (Industrial) | m3,Explosion (Industrial),<MULTIPLE_OR_NOT_APPLICABLE>,m3,477,0,477,0.0,,,,,,,0,430,0,,,False,False,False,only three non-missing values and heterogeneous accident contexts,False,False,only three non-missing values and heterogeneous accident contexts; training non-missing sample count 0 < 20; training IQR unavailable
disaster_type+magnitude_scale,Fire (Industrial) | m3,Fire (Industrial),<MULTIPLE_OR_NOT_APPLICABLE>,m3,115,0,115,0.0,,,,,,,0,101,0,,,False,False,False,only three non-missing values and heterogeneous accident contexts,False,False,only three non-missing values and heterogeneous accident contexts; training non-missing sample count 0 < 20; training IQR unavailable
