model_id,fold,fit_predict_seconds
RF_T2,1,3.7989831000450067
RF_weight_1,1,3.024268800043501
RF_weight_1.25,1,3.3812511999858543
RF_weight_1.5,1,3.2551031000330113
RF_weight_2,1,2.8699508999707177
RF_weight_2.5,1,3.0460462999762967
LGBM_T2,1,2.8417739999713376
RF_T2,2,3.8618991000112146
RF_weight_1,2,3.533856800000649
RF_weight_1.25,2,3.610181099968031
RF_weight_1.5,2,3.305537700012792
RF_weight_2,2,3.3570546000264585
RF_weight_2.5,2,3.2495186000014655
LGBM_T2,2,3.1645992000121623
RF_T2,3,4.61561450001318
RF_weight_1,3,3.752449399966281
RF_weight_1.25,3,3.70060880004894
RF_weight_1.5,3,3.963489900052082
RF_weight_2,3,3.409297099977266
RF_weight_2.5,3,3.5932296999963
LGBM_T2,3,2.9684392999624833
RF_T2,4,4.441408200014848
RF_weight_1,4,3.4152466999948956
RF_weight_1.25,4,3.9261350000160746
RF_weight_1.5,4,3.695595700002741
RF_weight_2,4,3.9268181000370532
RF_weight_2.5,4,3.573577400005888
LGBM_T2,4,3.1201983999926597
