model_id,fold,threshold,candidate_id,default_prediction_disagreement,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,quadratic_weighted_kappa,severe_to_low,low_to_severe,low_precision,low_recall,low_f1,low_support,moderate_precision,moderate_recall,moderate_f1,moderate_support,severe_precision,severe_recall,severe_f1,severe_support,severe_to_low_rate
RF_T2,pooled,0.2,RF_T2_t0.20,1274,0.4368147720715522,0.6218849195325666,0.5721640431184,0.6218849195325666,0.43146619821767523,0.4642740079881717,0.3729483778954443,24,245,0.6323651452282157,0.7434146341463415,0.683408071748879,1025,0.9571428571428572,0.24419134396355352,0.38911070780399276,2195,0.12698412698412698,0.8780487804878049,0.2218798151001541,246,0.0975609756097561
RF_T2,1,0.2,RF_T2_t0.20,379,0.40458015267175573,0.6173898071625344,0.5719759836484416,0.6173898071625344,0.4196670575224209,0.43892345675543454,0.33310577541984443,2,77,0.628,0.6541666666666667,0.6408163265306123,240,0.9539473684210527,0.2396694214876033,0.38309114927344784,605,0.13398058252427184,0.9583333333333334,0.23509369676320271,72,0.027777777777777776
RF_T2,2,0.2,RF_T2_t0.20,321,0.4342258440046566,0.621732103239537,0.5607754686438553,0.621732103239537,0.4320747085348864,0.4653558217682706,0.36624918627489167,7,52,0.6027874564459931,0.7521739130434782,0.6692456479690522,230,0.9548387096774194,0.2605633802816901,0.4094052558782849,568,0.12470023980815348,0.8524590163934426,0.2175732217573222,61,0.11475409836065574
RF_T2,3,0.2,RF_T2_t0.20,303,0.41196388261851014,0.5999274217837269,0.5554275265231691,0.5999274217837269,0.41213871059096036,0.44366002381242453,0.31707992453282474,9,66,0.565068493150685,0.7081545064377682,0.6285714285714286,233,0.9798657718120806,0.24787775891341257,0.3956639566395664,589,0.12134831460674157,0.84375,0.21218074656188604,64,0.140625
RF_T2,4,0.2,RF_T2_t0.20,271,0.503731343283582,0.6299819054039931,0.5897806335158581,0.6299819054039931,0.44871613875367805,0.5143585359507291,0.45253707253101993,6,50,0.7101063829787234,0.8291925465838509,0.7650429799426934,322,0.9326923076923077,0.22401847575057737,0.3612662942271881,433,0.12654320987654322,0.8367346938775511,0.21983914209115282,49,0.12244897959183673
RF_T2,pooled,0.21,RF_T2_t0.21,1227,0.44633583381419506,0.6283035477279603,0.5734222860027212,0.6283035477279603,0.438172987924375,0.47201765999531264,0.3872034168857684,26,223,0.632768361581921,0.7648780487804878,0.6925795053003534,1025,0.9581151832460733,0.2501138952164009,0.39667630057803466,2195,0.1293833131801693,0.8699186991869918,0.22526315789473683,246,0.10569105691056911
RF_T2,1,0.21,RF_T2_t0.21,362,0.4187568157033806,0.6280149984695439,0.5751826612457838,0.6280149984695439,0.43121728676765064,0.45157363505776166,0.356049024775962,3,68,0.6335877862595419,0.6916666666666667,0.6613545816733067,240,0.9554140127388535,0.24793388429752067,0.3937007874015748,605,0.13654618473895583,0.9444444444444444,0.23859649122807017,72,0.041666666666666664
RF_T2,2,0.21,RF_T2_t0.21,313,0.4412107101280559,0.6304277554134501,0.5629192449991823,0.6304277554134501,0.4375288711759093,0.4690083270283895,0.38549231614901747,7,46,0.6067796610169491,0.7782608695652173,0.6819047619047619,230,0.9548387096774194,0.2605633802816901,0.4094052558782849,568,0.1271393643031785,0.8524590163934426,0.22127659574468084,61,0.11475409836065574
RF_T2,3,0.21,RF_T2_t0.21,290,0.4221218961625282,0.6076148530158291,0.5558393569964397,0.6076148530158291,0.4193076777966422,0.4534537757048268,0.32513742961113756,9,63,0.5618729096989966,0.721030042918455,0.631578947368421,233,0.9806451612903225,0.25806451612903225,0.40860215053763443,589,0.125,0.84375,0.21774193548387097,64,0.140625
RF_T2,4,0.21,RF_T2_t0.21,262,0.5099502487562189,0.6288596169464874,0.5895060642338833,0.6288596169464874,0.4519738282656216,0.51913212476203,0.4593383822907091,7,46,0.7075718015665796,0.8416149068322981,0.7687943262411348,322,0.9339622641509434,0.22863741339491916,0.3673469387755102,433,0.12698412698412698,0.8163265306122449,0.21978021978021978,49,0.14285714285714285
RF_T2,pooled,0.22,RF_T2_t0.22,1170,0.45470282746682056,0.6301585890574167,0.5712412588116176,0.6301585890574167,0.4430098625018252,0.47853900965410173,0.3978942421339079,30,201,0.6286161063330727,0.784390243902439,0.6979166666666666,1025,0.9542372881355933,0.25649202733485194,0.4043087971274686,2195,0.1308703819661866,0.8495934959349594,0.2268041237113402,246,0.12195121951219512
RF_T2,1,0.22,RF_T2_t0.22,340,0.4318429661941112,0.6364133761861034,0.5721748503927414,0.6364133761861034,0.43983097064308735,0.46203536905144865,0.3734159807334957,4,60,0.6245487364620939,0.7208333333333333,0.6692456479690522,240,0.9512195121951219,0.2578512396694215,0.4057217165149545,605,0.1407563025210084,0.9305555555555556,0.24452554744525548,72,0.05555555555555555
RF_T2,2,0.22,RF_T2_t0.22,302,0.4481955762514552,0.6316585184664653,0.5609306221027618,0.6316585184664653,0.44176789939501804,0.47544488029087784,0.3930950774233579,8,42,0.6046511627906976,0.7913043478260869,0.6854990583804144,230,0.95,0.2676056338028169,0.4175824175824176,568,0.12814070351758794,0.8360655737704918,0.2222222222222222,61,0.13114754098360656
RF_T2,3,0.22,RF_T2_t0.22,280,0.43002257336343114,0.6158997907512794,0.5574572401209087,0.6158997907512794,0.4252771985569126,0.459023069390174,0.34010756340818604,9,58,0.5635179153094463,0.7424892703862661,0.6407407407407407,233,0.9808917197452229,0.2614601018675722,0.4128686327077748,589,0.12796208530805686,0.84375,0.2222222222222222,64,0.140625
