model_id,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,quadratic_weighted_kappa,severe_to_low,low_to_severe,low_precision,low_recall,low_f1,low_support,moderate_precision,moderate_recall,moderate_f1,moderate_support,severe_precision,severe_recall,severe_f1,severe_support,severe_to_low_rate
LGBM_T2,0.6757068667051356,0.6097425165595619,0.5581940400238881,0.6097425165595619,0.5654257487975838,0.6891226078293015,0.4494428477899032,68,45,0.5921052631578947,0.8341463414634146,0.692588092345079,1025,0.8667905824039653,0.6373576309794988,0.7345760042005776,2195,0.21568627450980393,0.35772357723577236,0.2691131498470948,246,0.2764227642276423
RF_T2,0.6762839007501442,0.638473618904754,0.5751846024097168,0.638473618904754,0.5794335356287853,0.6890713846826115,0.4673035819594855,61,52,0.5816655907036798,0.8790243902439024,0.7000777000777001,1025,0.897986577181208,0.6095671981776766,0.7261872455902306,2195,0.2459016393442623,0.4268292682926829,0.31203566121842496,246,0.24796747967479674
RF_weight_1,0.6569532602423543,0.6561346000703743,0.5755092514379468,0.6561346000703743,0.574139934412973,0.6743616428318977,0.4643060536760951,58,68,0.58382257012394,0.8731707317073171,0.6997654417513682,1025,0.9119359534206696,0.5708428246013667,0.7021574670776127,2195,0.23076923076923078,0.524390243902439,0.3204968944099379,246,0.23577235772357724
RF_weight_1.25,0.6281015579919216,0.656059287244353,0.5704845160861081,0.656059287244353,0.5549306250295432,0.6518404396583689,0.4535069362180173,53,91,0.5951580363147276,0.8634146341463415,0.7046178343949044,1025,0.9206730769230769,0.5234624145785877,0.66744118501307,2195,0.19562243502051985,0.5813008130081301,0.29273285568065505,246,0.21544715447154472
RF_weight_1.5,0.6061742642815926,0.6543062268891482,0.5682405742494423,0.6543062268891482,0.5410117185903595,0.6326458237939805,0.44502746434989304,51,104,0.5971467391304348,0.8575609756097561,0.7040448538245895,1025,0.9264069264069265,0.4874715261958998,0.6388059701492538,2195,0.18116805721096543,0.6178861788617886,0.280184331797235,246,0.2073170731707317
RF_weight_2,0.5504904789382573,0.646103178571649,0.5652872662531544,0.646103178571649,0.5059053588530146,0.5810431471907263,0.4262612093535121,41,140,0.6063829787234043,0.8341463414634146,0.702258726899384,1025,0.9341825902335457,0.4009111617312073,0.5610455849537775,2195,0.15529622980251345,0.7032520325203252,0.25441176470588234,246,0.16666666666666666
RF_weight_2.5,0.4948066935949221,0.63703341543666,0.570691009333081,0.63703341543666,0.4698404750969083,0.5244512505138826,0.4018569696699339,34,187,0.6145833333333334,0.8058536585365854,0.6973406500633178,1025,0.9586206896551724,0.31662870159453305,0.476027397260274,2195,0.1388690050107373,0.7886178861788617,0.2361533779671333,246,0.13821138211382114
