model_id,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_min,balanced_accuracy_max,macro_precision_mean,macro_precision_std,macro_precision_min,macro_precision_max,macro_recall_mean,macro_recall_std,macro_recall_min,macro_recall_max,macro_f1_mean,macro_f1_std,macro_f1_min,macro_f1_max,weighted_f1_mean,weighted_f1_std,weighted_f1_min,weighted_f1_max,quadratic_weighted_kappa_mean,quadratic_weighted_kappa_std,quadratic_weighted_kappa_min,quadratic_weighted_kappa_max,severe_to_low_mean,severe_to_low_std,severe_to_low_min,severe_to_low_max,low_to_severe_mean,low_to_severe_std,low_to_severe_min,low_to_severe_max,low_precision_mean,low_precision_std,low_precision_min,low_precision_max,low_recall_mean,low_recall_std,low_recall_min,low_recall_max,low_f1_mean,low_f1_std,low_f1_min,low_f1_max,low_support_mean,low_support_std,low_support_min,low_support_max,moderate_precision_mean,moderate_precision_std,moderate_precision_min,moderate_precision_max,moderate_recall_mean,moderate_recall_std,moderate_recall_min,moderate_recall_max,moderate_f1_mean,moderate_f1_std,moderate_f1_min,moderate_f1_max,moderate_support_mean,moderate_support_std,moderate_support_min,moderate_support_max,severe_precision_mean,severe_precision_std,severe_precision_min,severe_precision_max,severe_recall_mean,severe_recall_std,severe_recall_min,severe_recall_max,severe_f1_mean,severe_f1_std,severe_f1_min,severe_f1_max,severe_support_mean,severe_support_std,severe_support_min,severe_support_max,severe_to_low_rate_mean,severe_to_low_rate_std,severe_to_low_rate_min,severe_to_low_rate_max
LGBM_T2,0.6771052238748035,0.03677681836058978,0.6523702031602708,0.7313432835820896,0.6061804342631307,0.013446840944289018,0.5984923283565413,0.6263200183654728,0.5628899421055741,0.03213577779745663,0.5394263133725318,0.609935670912002,0.6061804342631307,0.013446840944289018,0.5984923283565413,0.6263200183654728,0.5639652788289897,0.023831239029642914,0.5451088526748215,0.5971345447806339,0.6907054152683851,0.02483377180087119,0.6716056464921181,0.727021676258551,0.44300446941800353,0.07411705689900445,0.3653188154191037,0.52857933433473,17.0,7.302967433402215,9,25,11.25,5.852349955359813,4,18,0.5896975354610662,0.0761019054154552,0.5153203342618384,0.6853658536585366,0.8308412805782884,0.04177270266547131,0.7939914163090128,0.8726708074534162,0.6881777914968313,0.0600374968668363,0.625,0.76775956284153,256.25,44.033131465598345,230,322,0.8660733269692465,0.03241495863092839,0.8286516853932584,0.9015151515151515,0.6402733466228356,0.027389069469462093,0.6247933884297521,0.6812933025404158,0.7355005453862269,0.01160279444249256,0.7206863679694948,0.7477820025348543,548.75,78.64000254323497,433,605,0.23289896388640957,0.056463040755211594,0.1919191919191919,0.3157894736842105,0.3474266755882681,0.09104066151644355,0.24489795918367346,0.4583333333333333,0.2682174996039108,0.020645738958426644,0.2375,0.28205128205128205,61.5,9.539392014169458,49,72,0.28206679700568754,0.12027363660518729,0.125,0.4098360655737705
RF_T2,0.677564491630411,0.0353724777877451,0.6410835214446953,0.7238805970149254,0.6354770300700363,0.01665449956251607,0.6211227450232399,0.6585990764759746,0.5782830667494518,0.035206217431624186,0.5563121362703304,0.6308108775296092,0.6354770300700363,0.01665449956251607,0.6211227450232399,0.6585990764759746,0.5784884150988692,0.02537193280917941,0.5637357706593462,0.6164747093221311,0.6900982471239463,0.025484804342739063,0.6611160891131496,0.7209790081271175,0.4611033941218182,0.043605663776597074,0.426648547207662,0.5250040001476979,15.25,2.8722813232690143,11,17,13.0,6.27162924074226,5,18,0.5775639996946282,0.05733804621612156,0.5219638242894057,0.6578947368421053,0.8744310028079154,0.04553536373591684,0.8208333333333333,0.9316770186335404,0.6949847471665043,0.05272184122066796,0.6516129032258065,0.7712082262210797,256.25,44.033131465598345,230,322,0.8990870277488625,0.022182191394152413,0.8732718894009217,0.927170868347339,0.6097401400489354,0.034296031246017274,0.5619694397283531,0.6408450704225352,0.7258955360408258,0.0202301937495179,0.6997885835095138,0.7489711934156379,548.75,78.64000254323497,433,605,0.2581981728048647,0.05549453501904642,0.21875,0.33962264150943394,0.4222599473532582,0.0907318406670435,0.3442622950819672,0.546875,0.3145849620892772,0.03913779443336971,0.267515923566879,0.35294117647058826,61.5,9.539392014169458,49,72,0.25710126946953643,0.08056178999602201,0.1527777777777778,0.3469387755102041
RF_weight_1,0.658583868196724,0.042522320754142605,0.6207674943566591,0.7164179104477612,0.6532161545540791,0.012209805246441462,0.6384947964493418,0.6669819287679951,0.577968455105578,0.03078396618794285,0.5544444262612542,0.622960362915547,0.6532161545540791,0.012209805246441462,0.6384947964493418,0.6669819287679951,0.5741325730079334,0.028026035427669894,0.5532166995731824,0.6139467545602296,0.6758625345743536,0.03269082317307031,0.6422493059290635,0.7169203747146898,0.4580096630944143,0.040167530176835636,0.42601238097196803,0.5167870652980897,14.5,3.696845502136472,9,17,17.0,5.477225575051661,10,23,0.580033933911662,0.0589639757330009,0.519280205655527,0.6607538802660754,0.868620961400048,0.04613233420726669,0.8125,0.9254658385093167,0.6947649541781616,0.05303142816772062,0.6495176848874598,0.7710219922380336,256.25,44.033131465598345,230,322,0.9129332528171928,0.024274785967844808,0.8810126582278481,0.9363636363636364,0.5725472703470191,0.03333870383881173,0.5246179966044142,0.596830985915493,0.7030643088454114,0.023994851564807764,0.6724700761697497,0.7259100642398287,548.75,78.64000254323497,433,605,0.2409381785878792,0.04064967745911822,0.2087912087912088,0.3,0.5184802319151705,0.07424654140834261,0.42857142857142855,0.609375,0.3245684560002272,0.025026230288978393,0.2992125984251969,0.35294117647058826,61.5,9.539392014169458,49,72,0.24505478420876547,0.0860370955205793,0.125,0.32653061224489793
RF_weight_1.25,0.6301635233751096,0.06071932040425917,0.5711060948081265,0.7151741293532339,0.6543440246141161,0.012618886889557117,0.6437672176308541,0.672021273616385,0.5748049926868023,0.0353177180731033,0.5507181203893124,0.6269228046675488,0.6543440246141161,0.012618886889557117,0.6437672176308541,0.672021273616385,0.5573240909684228,0.045209254214531536,0.5145090442267538,0.6211654653507773,0.6534540419063756,0.0490689417661562,0.5993325122779983,0.7184078186528843,0.4482285997471289,0.05641359046729345,0.3933081365334874,0.5271216346974785,13.25,3.304037933599835,9,17,22.75,6.898067362191626,14,30,0.5913051109198713,0.059377366114510645,0.5253333333333333,0.669683257918552,0.8585330696469669,0.047810480097809444,0.8041666666666667,0.9192546583850931,0.6995753302769198,0.0541050803389737,0.6480263157894737,0.774869109947644,256.25,44.033131465598345,230,322,0.9227048799423012,0.027166207735251066,0.8867924528301887,0.9469964664310954,0.5275157775030652,0.05484009236057056,0.45500848896434637,0.5866050808314087,0.669449628095379,0.04146554429041017,0.6146788990825688,0.7154929577464789,548.75,78.64000254323497,433,605,0.21040498719823433,0.05640046822861593,0.17412935323383086,0.29411764705882354,0.5769832266923163,0.05341777183817409,0.5102040816326531,0.640625,0.30294731453296975,0.04777170936263508,0.26717557251908397,0.373134328358209,61.5,9.539392014169458,49,72,0.22193616175978587,0.06954268535820758,0.125,0.2786885245901639
RF_weight_1.5,0.608359263411987,0.06502722988884957,0.5598194130925508,0.7039800995024875,0.6516992347753096,0.011894582272498606,0.6362957144147853,0.6648274934032253,0.5707728758201686,0.029227742708430773,0.5545820508746248,0.6145429661254497,0.6516992347753096,0.011894582272498606,0.6362957144147853,0.6648274934032253,0.5423661979701182,0.04368549791665301,0.5103140239494196,0.6056855515958418,0.634141337534155,0.05266587943744006,0.588881507155442,0.7097728667994095,0.4396957398041943,0.057901106792716796,0.40146446384524004,0.5244718251650374,12.75,3.685557397915997,8,17,26.0,7.788880963698615,15,32,0.5928498615385005,0.06039557071661347,0.5367847411444142,0.676605504587156,0.8524124692328882,0.0493676036345609,0.7958333333333333,0.9161490683229814,0.6985305421104162,0.05430435875945745,0.6566666666666666,0.7783641160949868,256.25,44.033131465598345,230,322,0.9280057758208826,0.025551527997659414,0.8994082840236687,0.9550561797752809,0.4925237866338754,0.05785196312756799,0.432937181663837,0.5681293302540416,0.6414159321309122,0.04442074472990749,0.5957943925233645,0.7008547008547008,548.75,78.64000254323497,433,605,0.1914629901011224,0.04225017961010562,0.15584415584415584,0.25252525252525254,0.6101614484591651,0.07786479484639634,0.5102040816326531,0.6875,0.2871521196690262,0.0378275575815937,0.2465753424657534,0.33783783783783783,61.5,9.539392014169458,49,72,0.21455768953756366,0.07642004192991701,0.1111111111111111,0.2786885245901639
RF_weight_2,0.5522071535317201,0.05203187154189365,0.5203160270880361,0.6293532338308457,0.6428493375739053,0.004624001191020016,0.6378699955794235,0.6468893480257116,0.564331895570158,0.01717401647948905,0.5520909592439124,0.5897827957771232,0.6428493375739053,0.004624001191020016,0.6378699955794235,0.6468893480257116,0.5046528255117064,0.0274714379729468,0.4837268399526818,0.5431504606839218,0.5823586020923596,0.04274894115809602,0.5541928946385867,0.6445108539095575,0.4204959874605577,0.04968151431903227,0.3764357582232818,0.4917087104911707,10.25,2.9860788111948193,6,13,35.0,8.286535263104035,26,43,0.6017132622773467,0.057874744952490925,0.5478260869565217,0.6833333333333333,0.8291936850780618,0.050967216031522974,0.7708333333333334,0.8913043478260869,0.6967534397282911,0.05306518345378576,0.6539792387543253,0.7735849056603774,256.25,44.033131465598345,230,322,0.9348055904995148,0.022454848321620893,0.9136690647482014,0.9576271186440678,0.4028760949571367,0.030391475989438962,0.3714788732394366,0.43648960739030024,0.5622291842804762,0.025972171995218875,0.5341772151898734,0.5915492957746479,548.75,78.64000254323497,433,605,0.1564768339336124,0.01233044326642441,0.1419141914191419,0.16853932584269662,0.6964782326865172,0.05923708326334588,0.6122448979591837,0.75,0.25497585252635213,0.015221576618064205,0.23626373626373626,0.27,61.5,9.539392014169458,49,72,0.17320322083751533,0.0640354175993332,0.08333333333333333,0.22448979591836735
RF_weight_2.5,0.49676498434344907,0.05618486420341891,0.46332945285215366,0.5808457711442786,0.6343265379386082,0.01295835777154127,0.6203780226507499,0.6515270431900042,0.5698343871413483,0.02130576332236268,0.5570501726013147,0.601709200827833,0.6343265379386082,0.01295835777154127,0.6203780226507499,0.6515270431900042,0.4683397457551892,0.02815385912744898,0.44710246445099183,0.5094424770266461,0.5259309084729991,0.04978619076647089,0.4866257357246977,0.5986209087269584,0.3963023668949798,0.05405567177423276,0.36036074849568456,0.47510837587786514,8.5,3.3166247903554,4,12,46.75,11.05667219374799,38,61,0.6096673305828235,0.062123810807732806,0.56,0.6962962962962963,0.79982089542292,0.06331403627477383,0.725,0.8757763975155279,0.6909178448831732,0.057126532089058935,0.6523297491039427,0.7757909215955984,256.25,44.033131465598345,230,322,0.9602411667510179,0.021000727710846743,0.9302325581395349,0.9757575757575757,0.3180579379851128,0.026133701531105995,0.2834507042253521,0.3441108545034642,0.4772165233353287,0.028465706272762768,0.4392905866302865,0.5068027210884354,548.75,78.64000254323497,433,605,0.13959466409020352,0.005572866115519414,0.1346153846153846,0.14754098360655737,0.7851007804077915,0.033804941810657754,0.7346938775510204,0.8055555555555556,0.23688486904706568,0.00642245169549917,0.23058823529411765,0.24573378839590443,61.5,9.539392014169458,49,72,0.14414383410468012,0.0637370862267698,0.05555555555555555,0.19672131147540983
