comparison,enhanced,baseline,interpretation,delta_accuracy,delta_balanced_accuracy,delta_macro_f1,delta_weighted_f1,delta_severe_precision,delta_severe_recall,delta_severe_f1,delta_quadratic_weighted_kappa,delta_severe_to_low,delta_low_to_severe
T1_vs_T0,T1,T0,World Bank contribution,-0.006218905472636815,0.0024491571907405696,-0.0018131476963391124,-0.006274674455669316,-0.0027734976887519025,0.020408163265306145,0.007122507122507116,0.007758838013713021,-1,-1
T2_vs_T0,T2,T0,Magnitude contribution,0.0,0.0131272912820114,0.012397784476170126,-0.0014936591144953937,0.04871355060034305,0.04081632653061229,0.04524886877828055,0.014982331675325256,0,-3
T3_vs_T0,T3,T0,All enhancements contribution,0.003731343283582156,0.008342366969882664,0.012056551105460334,0.0026857432204484555,0.04909090909090913,0.020408163265306145,0.035742035742035716,0.00869130777006677,-1,-1
T3_vs_T1,T3,T1,Magnitude incremental to World Bank,0.009950248756218971,0.0058932097791420945,0.013869698801799446,0.008960417676117771,0.05186440677966103,0.0,0.0286195286195286,0.0009324697563537487,0,0
T3_vs_T2,T3,T2,World Bank incremental to Magnitude,0.003731343283582156,-0.0047849243121287355,-0.00034123337070979254,0.004179402334943849,0.00037735849056608206,-0.020408163265306145,-0.009506833036244833,-0.006291023905258486,-1,2
